A Number,First Name,Last Name,Birthdate,Country Of Origin,Gender,Port of Entry,Digitized Flag
230187007,Georg,Issatt,9/7/1957,Colombia,Genderqueer,"Rio Grande City, Texas - 2307",false
434359959,Maggy,Priddie,11/29/1966,United States,Genderfluid,"Albuquerque, New Mexico - 2407",false
674266047,Rriocard,Murby,10/17/1950,Philippines,Male,"Buffalo, New York - 0901",false
240387656,Sigmund,Sappell,11/9/1999,Canada,Agender,"Nogales, Arizona - 2604",false
570407737,Sarita,Cromblehome,6/26/1989,United States,Genderfluid,"Buffalo, New York - 0901",true
221054903,Verge,Le - Count,9/11/1967,Sweden,Non-binary,"Albuquerque, New Mexico - 2407",true
354243156,Rodney,Matthews,1/9/1953,China,Male,"Rio Grande City, Texas - 2307",true
840134719,Melitta,Buzine,5/19/1972,Syria,Polygender,"Calexico East - Class A, California - 2507",false
840309430,Woodie,Tocque,5/1/1989,Indonesia,Polygender,"Tucson, Arizona - 2609",false
609269719,Ignazio,Mustin,11/17/1965,Portugal,Male,"Calexico East - Class A, California - 2507",false
745643714,Levon,Dusting,11/24/1991,Sweden,Male,"Tucson, Arizona - 2609",true
906724980,Ashleigh,Casserley,10/15/1995,Indonesia,Polygender,"Rio Grande City, Texas - 2307",true
689546012,Zarah,Metcalfe,8/10/1977,Uruguay,Non-binary,"Albuquerque, New Mexico - 2407",false
961832993,Andreana,Breagan,5/7/1974,Ukraine,Bigender,"Calexico East - Class A, California - 2507",true
260030645,Samuel,Hanton,4/13/1962,France,Non-binary,"Albuquerque, New Mexico - 2407",true
190727779,Seumas,McKenney,1/6/1960,Indonesia,Genderqueer,"Calexico East - Class A, California - 2507",false
631548606,Tina,Lack,1/28/1951,Chile,Male,"Rio Grande City, Texas - 2307",false
148426602,Kristofor,Rops,12/20/1964,Bolivia,Non-binary,"Tucson, Arizona - 2609",true
440786304,Esme,Golton,6/23/1950,China,Agender,"Buffalo, New York - 0901",true
364897852,Daniella,Liepina,4/13/1977,China,Non-binary,"Tucson, Arizona - 2609",true
879022671,Ivar,Everist,12/14/1967,Qatar,Genderfluid,"Rio Grande City, Texas - 2307",true
229495349,Kerr,Kerfut,2/10/1989,Netherlands,Genderfluid,"Nogales, Arizona - 2604",false
748638683,Nance,Entwisle,2/2/1978,Colombia,Female,"Nogales, Arizona - 2604",true
864834367,Berti,Bowhay,1/10/1986,Peru,Polygender,"Rio Grande City, Texas - 2307",true
102530606,Dennet,Oake,11/7/1950,Philippines,Bigender,"Nogales, Arizona - 2604",true
156548313,Jeno,Marquet,10/14/1978,Philippines,Bigender,"Buffalo, New York - 0901",false
445552903,Zachariah,Tydd,8/28/1980,Indonesia,Female,"Buffalo, New York - 0901",true
921445740,Karlotta,Bamell,5/2/1959,China,Female,"Nogales, Arizona - 2604",false
707743289,Jessa,Mahady,4/11/1952,China,Polygender,"Amarillo, Texas - 5502",true
397206040,Thorstein,Chern,3/6/1972,Philippines,Agender,"Tucson, Arizona - 2609",true
594811798,Pren,Spellicy,2/6/1985,Canada,Polygender,"Buffalo, New York - 0901",true
243980628,Brit,Bromley,1/22/1971,Argentina,Genderqueer,"Buffalo, New York - 0901",false
996508792,Alano,Amort,4/21/1984,China,Genderqueer,"Albuquerque, New Mexico - 2407",false
218232519,Torre,Boyat,7/22/1958,Myanmar,Genderqueer,"Buffalo, New York - 0901",true
940484330,Demetra,Liffe,2/15/1955,Iceland,Female,"Albuquerque, New Mexico - 2407",true
341362170,Kellby,Banting,12/30/1999,Ukraine,Non-binary,"Tucson, Arizona - 2609",true
819926593,Ethelind,Pensom,5/19/1995,Brazil,Genderfluid,"Buffalo, New York - 0901",true
429157338,Waring,Ovendale,6/2/1975,China,Non-binary,"Nogales, Arizona - 2604",true
957619264,Nanice,Bocke,11/26/1952,Cuba,Non-binary,"Amarillo, Texas - 5502",true
508792396,Colin,Linneman,1/9/1973,Austria,Male,"Nogales, Arizona - 2604",false
932752831,Pamela,Bartoszek,9/26/1971,Brazil,Agender,"Rio Grande City, Texas - 2307",true
842239345,Brendis,Gillhespy,10/2/1975,Peru,Genderqueer,"Rio Grande City, Texas - 2307",false
597988896,Corty,Grime,7/19/1959,Sweden,Bigender,"Rio Grande City, Texas - 2307",false
177265802,Henrietta,Cattermole,6/19/1982,Russia,Bigender,"Tucson, Arizona - 2609",true
566555433,Rustin,Lillgard,9/7/1963,Tunisia,Female,"Nogales, Arizona - 2604",true
449415053,Ashley,Quilleash,12/4/1994,Cameroon,Bigender,"Calexico East - Class A, California - 2507",true
880967833,Erskine,Bussons,6/11/1959,Brazil,Non-binary,"Tucson, Arizona - 2609",true
587075382,Camella,Tooze,7/31/1950,Indonesia,Genderfluid,"Tucson, Arizona - 2609",false
442758454,Ebony,Anfrey,3/27/1967,Ivory Coast,Genderqueer,"Nogales, Arizona - 2604",false
150472494,Sarajane,De La Hay,10/7/1968,China,Female,"Albuquerque, New Mexico - 2407",true
597680379,Mahmoud,Kidney,1/3/1984,Indonesia,Non-binary,"Albuquerque, New Mexico - 2407",false
440927386,West,Bowcock,7/22/1980,China,Non-binary,"Amarillo, Texas - 5502",true
504262559,Auberon,Gandrich,7/21/1960,Philippines,Non-binary,"Albuquerque, New Mexico - 2407",false
898109015,Glori,Sarsons,7/31/1996,Indonesia,Female,"Rio Grande City, Texas - 2307",true
708620518,Bree,Schutt,1/23/1974,Philippines,Polygender,"Amarillo, Texas - 5502",false
224709861,Stirling,Smeuin,9/18/1967,China,Bigender,"Tucson, Arizona - 2609",false
253108029,Mignonne,Chapelhow,6/17/1992,Indonesia,Male,"Amarillo, Texas - 5502",true
362402510,Gael,Olcot,7/12/1998,Namibia,Non-binary,"Amarillo, Texas - 5502",false
902727188,Derrik,Foxton,7/29/1961,Poland,Agender,"Amarillo, Texas - 5502",true
221186127,Annabella,Marshall,1/10/1977,China,Male,"Albuquerque, New Mexico - 2407",true
104377463,Anabel,Lechelle,7/12/1964,Philippines,Male,"Calexico East - Class A, California - 2507",true
794329434,Richmond,Cuppitt,9/22/1956,Sudan,Non-binary,"Rio Grande City, Texas - 2307",false
442391739,Chiarra,Curtois,11/14/1978,Portugal,Non-binary,"Calexico East - Class A, California - 2507",true
962061137,Cristine,Aucoate,9/12/1984,China,Non-binary,"Amarillo, Texas - 5502",true
119717092,Auberta,Langworthy,5/16/1967,Colombia,Genderqueer,"Tucson, Arizona - 2609",true
362442942,Ludwig,Edmonds,5/1/1961,Canada,Polygender,"Tucson, Arizona - 2609",true
416369328,Cathyleen,Schimpke,6/7/1961,Brazil,Bigender,"Tucson, Arizona - 2609",false
307307169,Dulcinea,Uccello,8/31/1954,Portugal,Polygender,"Amarillo, Texas - 5502",true
740307437,Edsel,Loggie,5/11/1982,Malawi,Genderqueer,"Nogales, Arizona - 2604",false
126230680,Corinne,Haining,4/15/1974,Indonesia,Non-binary,"Rio Grande City, Texas - 2307",false
628065977,Micki,Duckworth,1/7/1992,Costa Rica,Polygender,"Nogales, Arizona - 2604",false
159573711,Heriberto,Louden,5/27/1965,Indonesia,Genderfluid,"Amarillo, Texas - 5502",true
341434294,Ermina,Flacke,11/23/1953,Morocco,Genderfluid,"Rio Grande City, Texas - 2307",true
791719643,Salomon,Gentner,3/18/1963,Russia,Non-binary,"Tucson, Arizona - 2609",true
231847184,Ranique,Whiteside,7/10/1996,Argentina,Polygender,"Albuquerque, New Mexico - 2407",true
806692222,William,Swin,10/22/1960,China,Non-binary,"Albuquerque, New Mexico - 2407",true
359810598,Ferrell,McGlaughn,8/4/1997,Malawi,Female,"Rio Grande City, Texas - 2307",true
899819021,Angie,Hallatt,3/7/1999,Mexico,Agender,"Rio Grande City, Texas - 2307",true
745560920,Kelsey,Shaul,3/16/1956,China,Genderqueer,"Amarillo, Texas - 5502",true
325426280,Joana,Becke,12/13/1998,Ukraine,Agender,"Amarillo, Texas - 5502",false
130660283,Junette,Ondrak,2/21/1952,Poland,Agender,"Nogales, Arizona - 2604",true
932355654,Abelard,Jaray,6/11/1954,Indonesia,Male,"Tucson, Arizona - 2609",false
124437547,Gayle,Werrit,7/6/1964,Sweden,Bigender,"Amarillo, Texas - 5502",false
261009068,Rosene,Logan,10/19/1987,China,Female,"Nogales, Arizona - 2604",true
792223506,Legra,Itzhayek,12/1/1986,China,Genderqueer,"Rio Grande City, Texas - 2307",false
852210157,Filberte,Skinn,6/10/1964,Argentina,Genderqueer,"Rio Grande City, Texas - 2307",true
816753777,Carlie,Gerold,8/17/1986,Brazil,Bigender,"Amarillo, Texas - 5502",true
161348818,Brantley,Crossthwaite,6/25/1958,Argentina,Polygender,"Tucson, Arizona - 2609",true
568249020,Effie,Matej,1/19/1967,Colombia,Non-binary,"Calexico East - Class A, California - 2507",false
488249957,Bevon,Childerhouse,11/15/1976,Micronesia,Female,"Tucson, Arizona - 2609",true
625657606,Norby,Whitlam,2/2/1952,China,Female,"Tucson, Arizona - 2609",false
617660105,Joly,Pietruszka,10/19/1961,Poland,Genderfluid,"Albuquerque, New Mexico - 2407",true
932223525,Timothea,Ockendon,7/15/1992,Indonesia,Bigender,"Rio Grande City, Texas - 2307",false
952825200,Rubie,Nutty,3/23/1968,United States,Male,"Calexico East - Class A, California - 2507",true
443451256,Corby,Garred,1/23/1976,Philippines,Non-binary,"Albuquerque, New Mexico - 2407",false
821295730,Cassondra,Constantine,4/17/1982,Nigeria,Polygender,"Calexico East - Class A, California - 2507",false
369036837,Noemi,Lack,5/24/1983,China,Bigender,"Nogales, Arizona - 2604",false
759930631,Phaedra,Deer,8/9/1991,Poland,Non-binary,"Calexico East - Class A, California - 2507",true
858560720,Errol,Quartly,1/15/1952,Colombia,Male,"Albuquerque, New Mexico - 2407",false
714634294,Deloris,Heaney,2/3/1960,Russia,Bigender,"Amarillo, Texas - 5502",true
593186261,Rriocard,Radborne,6/12/1959,Philippines,Non-binary,"Buffalo, New York - 0901",true
296394915,Candice,Bealing,8/16/1995,Serbia,Bigender,"Nogales, Arizona - 2604",false
831457716,Baron,Thornally,9/13/1994,Cyprus,Non-binary,"Buffalo, New York - 0901",false
533645869,Beauregard,Keaveny,6/21/1981,Philippines,Male,"Nogales, Arizona - 2604",false
692687096,Devland,Rusling,12/5/1974,Kazakhstan,Female,"Buffalo, New York - 0901",false
158163035,Klaus,Hounihan,1/16/1971,Argentina,Genderfluid,"Nogales, Arizona - 2604",true
316977236,Trish,Cloney,11/15/1989,Netherlands,Polygender,"Buffalo, New York - 0901",false
235900057,Pauly,Beadnell,7/25/1977,Brazil,Male,"Nogales, Arizona - 2604",false
326340454,Kally,Philipard,10/21/1983,Ukraine,Genderqueer,"Calexico East - Class A, California - 2507",false
339527121,Linus,Vasilechko,9/25/1996,Mexico,Male,"Albuquerque, New Mexico - 2407",true
967054945,Raffarty,Robart,1/21/1969,Afghanistan,Polygender,"Nogales, Arizona - 2604",true
900465370,Deonne,MacMenemy,7/21/1962,Poland,Genderqueer,"Tucson, Arizona - 2609",false
168320683,Kira,Ledgard,7/1/1998,Russia,Bigender,"Buffalo, New York - 0901",false
811625241,Ajay,Vaudre,6/11/1969,China,Polygender,"Albuquerque, New Mexico - 2407",true
334589979,Dante,Shelmardine,3/3/1964,Indonesia,Male,"Rio Grande City, Texas - 2307",false
574943234,Elsinore,Phythean,7/27/1951,Indonesia,Genderqueer,"Rio Grande City, Texas - 2307",false
284479886,Barbey,Arndell,4/23/1973,China,Genderqueer,"Nogales, Arizona - 2604",false
192150809,Ennis,Paik,7/11/1967,Nigeria,Male,"Buffalo, New York - 0901",false
674739847,Happy,Knowles,11/16/1959,Indonesia,Agender,"Amarillo, Texas - 5502",true
480308448,Tierney,Collumbine,8/1/1981,Norway,Non-binary,"Amarillo, Texas - 5502",true
302768527,Bancroft,McIlhagga,3/3/1964,Aruba,Genderfluid,"Rio Grande City, Texas - 2307",true
876254951,Clarita,Evill,10/11/1954,Kyrgyzstan,Male,"Nogales, Arizona - 2604",true
577579604,Nissie,Hugonnet,12/13/1986,United States,Polygender,"Amarillo, Texas - 5502",false
597579260,Tawsha,Hurdwell,9/5/1953,France,Genderfluid,"Buffalo, New York - 0901",true
436692094,Gwenette,Gilling,5/10/1955,Egypt,Male,"Calexico East - Class A, California - 2507",true
421010486,Lucy,Corrin,5/28/1993,China,Genderfluid,"Nogales, Arizona - 2604",false
669133660,Nelli,Rocca,8/18/1990,United States,Genderfluid,"Buffalo, New York - 0901",true
706102765,Cristal,Kollaschek,2/20/1993,Brazil,Polygender,"Amarillo, Texas - 5502",false
713389870,Isabel,Diben,8/17/1996,Indonesia,Polygender,"Nogales, Arizona - 2604",true
114936944,Chere,Raiker,9/22/1971,China,Genderfluid,"Buffalo, New York - 0901",false
514868552,Duky,Giannassi,4/20/1972,Niger,Genderfluid,"Amarillo, Texas - 5502",false
967326759,Remington,Drakes,11/11/1953,China,Non-binary,"Buffalo, New York - 0901",true
213476567,Garrek,Degoey,2/20/1986,Bulgaria,Agender,"Tucson, Arizona - 2609",true
959917052,Emmalynn,Coen,8/16/1999,Armenia,Female,"Buffalo, New York - 0901",false
817302402,Teddie,Restall,8/12/1963,Philippines,Genderqueer,"Tucson, Arizona - 2609",false
637274234,Kendre,Josifovitz,2/8/1965,Philippines,Genderqueer,"Nogales, Arizona - 2604",false
169360124,Sallee,Rubens,8/29/1956,China,Male,"Rio Grande City, Texas - 2307",false
174637091,Sidney,Porter,6/30/1982,Malaysia,Female,"Calexico East - Class A, California - 2507",false
883318455,Barnie,Jozefiak,6/15/1956,Slovenia,Genderfluid,"Tucson, Arizona - 2609",true
313600965,Phyllida,Hazelgreave,12/7/1965,Russia,Bigender,"Rio Grande City, Texas - 2307",true
281171754,Orlando,Franklin,6/19/1971,China,Polygender,"Calexico East - Class A, California - 2507",true
992608774,Farand,Dionsetti,10/28/1983,Russia,Non-binary,"Buffalo, New York - 0901",true
421352147,Jamima,Screen,6/19/1971,Ireland,Non-binary,"Rio Grande City, Texas - 2307",true
714178956,Augustina,Romans,2/19/1965,Sweden,Polygender,"Nogales, Arizona - 2604",true
202046773,Carlee,Toller,10/25/1999,China,Genderfluid,"Buffalo, New York - 0901",true
956349908,Amerigo,Terbeck,11/27/1984,Indonesia,Female,"Nogales, Arizona - 2604",true
203365112,Lorinda,Daunay,11/7/1982,Vietnam,Agender,"Tucson, Arizona - 2609",false
708603328,Marice,De Lacey,3/6/1950,China,Genderfluid,"Albuquerque, New Mexico - 2407",true
538332898,Aundrea,Waberer,4/3/1951,Ethiopia,Male,"Tucson, Arizona - 2609",true
378930239,Russ,Peacocke,3/14/1970,Indonesia,Genderfluid,"Tucson, Arizona - 2609",true
300746797,Anica,Hurrion,8/18/1980,Uganda,Genderqueer,"Rio Grande City, Texas - 2307",true
850793936,Joete,O'Hartigan,8/27/1966,Thailand,Genderqueer,"Albuquerque, New Mexico - 2407",true
547834689,Zorana,Blodget,8/5/1976,China,Polygender,"Rio Grande City, Texas - 2307",true
794014489,Jasmine,Garn,1/27/1989,Indonesia,Polygender,"Amarillo, Texas - 5502",true
118901975,Hube,Tieraney,3/7/1979,Indonesia,Non-binary,"Calexico East - Class A, California - 2507",true
170196861,Virginia,Haggarty,5/16/1982,El Salvador,Bigender,"Calexico East - Class A, California - 2507",false
530565137,Ernestus,Matuszynski,1/5/1985,Portugal,Genderfluid,"Nogales, Arizona - 2604",true
724597865,Devonna,Ronchi,2/19/1953,China,Polygender,"Nogales, Arizona - 2604",true
635153439,Lida,Dreus,9/7/1973,China,Genderqueer,"Amarillo, Texas - 5502",true
558031127,Haleigh,Soda,8/21/1996,Dominican Republic,Male,"Rio Grande City, Texas - 2307",false
773376939,Boonie,Gunston,5/24/1982,Philippines,Genderfluid,"Buffalo, New York - 0901",true
849638340,Beilul,Older,10/19/1968,Ukraine,Female,"Nogales, Arizona - 2604",true
128491665,Matilda,Scrowson,6/8/1991,Philippines,Genderfluid,"Nogales, Arizona - 2604",false
360198113,Kristy,Ledford,1/13/1954,Brazil,Genderfluid,"Nogales, Arizona - 2604",true
