Id,Name,Birthdate__c,Country_Of_Origin__c,Digitized_Flag__c,First_Name__c,Gender__c,Last_Name__c,Port_of_Entry__c,Handcrafted_for_eWRTS_Demo_Scenario__c
a003B000005F2TdQAK,515858002,1965-03-26,Portugal,true,Hamil,Polygender,Salaman,"Amarillo, Texas - 5502",true
a003B000005F2TeQAK,961113242,1953-01-10,Indonesia,true,Alisha,Polygender,Finney,"Tucson, Arizona - 2609",true
a003B000005F2TfQAK,193500937,1950-09-17,China,false,Cass,Agender,Mandeville,"Albuquerque, New Mexico - 2407",true
a003B000005F2TgQAK,502851307,1981-04-07,Norway,true,Chlo,Non-binary,Tours,"Buffalo, New York - 0901",true
a003B000005F2ThQAK,628294723,1954-12-27,Portugal,false,Kellia,Male,Youell,"Albuquerque, New Mexico - 2407",true
a003B000005F2TiQAK,404970898,1956-03-04,China,false,Rebecka,Polygender,Duffy,"Albuquerque, New Mexico - 2407",true
a003B000005F2TjQAK,138531646,1972-08-16,Nigeria,false,Zsa zsa,Genderqueer,Venning,"Tucson, Arizona - 2609",true
a003B000005F2TkQAK,745388310,1976-10-07,China,false,Vittoria,Non-binary,Furminger,"Rio Grande City, Texas - 2307",true
a003B000005F2TlQAK,195404870,1988-03-15,Brazil,true,Janeczka,Male,Lovie,"Albuquerque, New Mexico - 2407",true
a003B000005F2TmQAK,369483152,1987-09-25,Russia,true,Wallas,Genderqueer,Aggio,"Amarillo, Texas - 5502",true
a003B000005F2TnQAK,635400069,1953-07-28,Uganda,true,Yorker,Non-binary,Tweddell,"Amarillo, Texas - 5502",true
a003B000005F2ToQAK,795915206,1983-11-26,Costa Rica,false,Courtenay,Genderfluid,Ponder,"Buffalo, New York - 0901",true
a003B000005F2TpQAK,422624310,1985-10-15,Thailand,false,Daniel,Non-binary,Callacher,"Tucson, Arizona - 2609",true
a003B000005F2TqQAK,731047834,1992-04-26,China,true,Tamara,Genderfluid,Chopping,"Nogales, Arizona - 2604",true
a003B000005F2TrQAK,662734209,1988-01-22,Indonesia,true,Ransom,Female,Gosse,"Nogales, Arizona - 2604",true
a003B000005F2TsQAK,400882787,1997-01-08,Palestinian Territory,true,Lutero,Polygender,Chastaing,"Amarillo, Texas - 5502",true
a003B000005F2TtQAK,665942402,1987-05-14,Italy,true,Collie,Male,Goard,"Buffalo, New York - 0901",true
a003B000005F2TuQAK,764749076,1987-01-25,Argentina,true,Nari,Polygender,Le Friec,"Albuquerque, New Mexico - 2407",true
a003B000005F2TvQAK,606121564,1988-03-02,Russia,false,Alfons,Genderfluid,Greatbank,"Amarillo, Texas - 5502",true
a003B000005F2TwQAK,269346644,1970-03-03,French Guiana,true,Marlie,Genderfluid,McUre,"Nogales, Arizona - 2604",true
a003B000005F2TxQAK,735489245,1986-07-12,Sweden,true,Regan,Polygender,Scranney,"Nogales, Arizona - 2604",true
a003B000005F2TyQAK,505927085,1965-11-26,Serbia,true,Kristofer,Bigender,Dentith,"Albuquerque, New Mexico - 2407",true
a003B000005F2TzQAK,618848481,1957-09-16,Nigeria,true,Isaak,Bigender,Brunone,"Nogales, Arizona - 2604",true
a003B000005F2U0QAK,533839403,1991-09-05,China,false,Forrest,Polygender,Allston,"Albuquerque, New Mexico - 2407",true
a003B000005F2U1QAK,645944716,1969-09-15,Poland,true,Henriette,Genderfluid,Levesley,"Calexico East - Class A, California - 2507",true
a003B000005F2U2QAK,507783668,1994-01-05,Peru,true,Kayley,Bigender,Stanmer,"Calexico East - Class A, California - 2507",true
a003B000005F2U3QAK,110479699,1966-02-25,Russia,false,Sandie,Male,Bottinelli,"Buffalo, New York - 0901",true
a003B000005F2U4QAK,158667180,1989-06-19,Zambia,false,Jobey,Female,Jenkinson,"Buffalo, New York - 0901",true
a003B000005F2U5QAK,573429937,1987-09-11,Indonesia,true,Shaun,Agender,O'Scollee,"Albuquerque, New Mexico - 2407",true
